Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__,s__	312140	0.000151591936724	0.000163392161292	0.000185595172103	0.000177783014728
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Agrobacterium,s__	189083	0.00581714307789	0.00834774605638	0.000936317255384	0.00178103236668
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Janthinobacterium,s__	365536	0.000460889723984	0.000185326799319	0.000188046192454	0.000134949287068
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	196381	0.000857160146052	0.000629088588963	0.000210662088286	0.000179476468213
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	178885	0.000994285588655	0.00122091703919	0.00023705695344	0.000312109958187
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__,s__	3723096	0.000158656020023	0.000314793667253	0.000108310338905	0.000155378161102
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__	325850	0.000540151658444	0.000859631275976	0.000157222727106	0.000251127066797
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,g__Actinomyces,s__	7366	0.000150561517654	0.000181577595842	9.02468201685e-05	9.04237373182e-05
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Corynebacteriaceae,g__Corynebacterium,s__	175630	0.00025170902247	0.000134414724659	0.000121620767853	8.16918993382e-05
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Selenomonas,s__	1105984	0.00209432312046	0.00195300007925	0.000438240946077	0.000477174326687
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__,s__	4444262	0.00127538296589	0.00100865773115	0.000220290088811	0.000179958383784
k__Bacteria,p__BHI80-139,c__,o__,f__,g__,s__	316732	0.00017047522038	0.000334239372462	0.000116280505808	0.000134477227075
k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Micromonosporaceae,g__Actinoplanes,s__	2979308	0.0010569186895	0.000701584248069	0.000241946753537	0.000216910929013
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__fragi	338301	0.00053605784897	0.000252678364474	0.000180307826305	0.000101826944183
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacteriales,f__Enterobacteriaceae,g__,s__	4393532	0.000260501939393	0.000148120786097	9.69514609979e-05	8.51970264338e-05
k__Bacteria,p__Cyanobacteria,c__Chloroplast,o__Streptophyta,f__,g__,s__	540055	0.000234087568786	0.000302621085724	0.000104728042006	0.000112864176608
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	4323124	0.000584849200175	0.000328094602526	0.000176344415144	0.000113134064383
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__,s__	366147	0.00294837355926	0.00189892687129	0.000535520241302	0.000406544797261
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__	348748	9.60084765685e-05	0.000104204492304	8.74492193256e-05	0.000114131014824
