Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	303313	3.10038006352e-05	2.86881469679e-05	9.15679315422e-06	9.40627037847e-06
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae	4457268	0.000214336268171	0.00077361150369	9.36239722942e-05	0.000183109795327
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus	140024	0.0	4.07856130007e-06	0.0	2.68932368081e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	177503	5.22872423092e-05	4.80189571057e-05	1.66625441477e-05	1.56388646574e-05
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces	4317477	0.0	2.31676904676e-06	0.0	1.5276322708e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	187212	0.000214557937211	0.000256513353932	0.000123436965954	0.000132757205263
Bacteria,Firmicutes,Clostridia,Clostridiales	274972	1.64143557636e-06	0.0	1.06622698309e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	4392487	1.74821185283e-05	2.32405415534e-05	5.03608416596e-06	7.71061845699e-06
Bacteria,Proteobacteria,Gammaproteobacteria,Marinicellales,Marinicellaceae	199419	2.47793639893e-06	0.0	1.60959265717e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,johnsonii	4442777	0.0	2.31382960623e-06	0.0	1.52569406111e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	180610	0.0	2.78365915824e-06	0.0	1.83549049354e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,johnsonii	242603	0.0	2.31382960623e-06	0.0	1.52569406111e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae	3028318	2.20305360561e-05	2.03400962574e-05	5.99792577557e-06	4.53576835871e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	312422	3.26281799958e-06	0.0	2.96496293143e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium	686900	2.41432766836e-05	3.18583361364e-05	5.97008366481e-06	8.43728002298e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	155616	0.0	3.43227735504e-06	0.0	2.26317666719e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	518287	0.0	1.93357487328e-06	0.0	1.27496151529e-07
Bacteria,Tenericutes,Mollicutes,RF39	898217	0.0	9.41228943216e-07	0.0	6.20627986152e-08
Bacteria,Firmicutes,Clostridia,Clostridiales	587117	0.0	2.96359866597e-06	0.0	1.95413909132e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Cellvibrio	806832	0.0	4.00150481518e-06	0.0	3.6850138581e-07
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dok59	256109	0.0	1.4960487022e-06	0.0	9.86465301478e-08
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	188259	3.28287115273e-06	2.61824930198e-06	2.13245396618e-07	1.72642246421e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	196061	6.28582188886e-05	5.0636691873e-05	1.45381033136e-05	1.03188952406e-05
Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,parainfluenzae	4395327	0.0	2.82231111887e-06	0.0	1.86097684163e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	340759	1.5166473881e-05	1.52535192512e-05	3.65646835663e-06	3.95522770926e-06
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae	566578	0.0	9.41228943216e-07	0.0	6.20627986152e-08
