Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales	266206	3.83653925016e-06	3.03447591077e-06	2.49210004286e-07	2.70747345744e-07
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia	1681530	0.0	2.31382960623e-06	0.0	1.52569406111e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	317847	0.0	2.78673123847e-06	0.0	1.83751616325e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	359314	0.000161294479172	0.000192322627628	0.000105742463865	0.000122174787284
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,caccae	187324	0.000125968663342	0.000132445083104	5.90853553039e-05	6.81688343068e-05
Bacteria,Firmicutes,Clostridia,Clostridiales	181240	1.40896233326e-06	0.0	9.15219384493e-08	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,gnavus	135625	3.20402924069e-06	2.46730810054e-06	2.94402421919e-07	1.62689478335e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	328544	4.52622540557e-06	2.38173775611e-06	5.80895488697e-07	1.57047136913e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	327298	1.64143557636e-06	2.61075282329e-06	1.06622698309e-07	1.72147943254e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	4360363	3.2228300844e-06	0.0	2.7693364653e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,melaninogenica	4428060	2.47291553916e-06	2.12509229129e-06	1.60633125827e-07	1.40124436104e-07
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae	1126217	3.10012229848e-06	0.0	2.01374582903e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,gnavus	191755	0.0325516245952	0.00585639063724	0.00491691503531	0.00396397858292
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	149725	5.93861287559e-06	3.29725798485e-06	8.53391902746e-07	2.9406950526e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	844359	3.27058787803e-06	3.76880604175e-06	2.12447512187e-07	2.48507711194e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	289882	4.04919734378e-06	3.23355086253e-06	5.20310584196e-07	3.02151001921e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	4317038	0.0	2.68957809288e-06	0.0	1.77345527612e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	331902	2.29018735865e-06	0.0	1.48763655016e-07	0.0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella	521851	0.0	2.31203695053e-06	0.0	1.52451201895e-07
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Dechloromonas	670178	1.94427400156e-06	0.0	1.26294167912e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira	2951214	0.0139743360829	0.00767551221039	0.00607276333802	0.00494005278355
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	2858770	0.0	3.23906464291e-06	0.0	2.1357759776e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,copri	4456491	0.0	4.4529094247e-06	0.0	4.15990480774e-07
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae	676638	0.0	2.31382960623e-06	0.0	1.52569406111e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	198449	0.00283175228501	0.00506321888974	0.00330769389944	0.00346505376295
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	182122	2.27488400358e-06	2.38597911205e-06	1.47769595283e-07	1.57326803642e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,marcescens	1517154	0.000336624049528	0.00206874155955	0.000176238244181	0.0003992192003
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	145883	7.44329794698e-05	5.21908654337e-05	2.62662958501e-05	1.68733795871e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	1586645	4.12429640354e-06	2.55129840599e-06	5.20498872222e-07	2.37308918077e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	514533	8.52941772157e-06	1.81900011061e-05	1.69420201017e-06	4.80026798061e-06
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae	4476561	0.000307794624485	0.000241610617729	0.000116425153579	8.09405015766e-05
