Features	Feature IDs	Omnivore (mean)	Vegan (std)	Omnivore (std)	Vegan (mean)
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	68838	1.5685896572e-08	0.0	7.97979037994e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	196428	4.55133657126e-07	1.41508669667e-05	7.06632357908e-06	3.51275307564e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia	187265	1.10898139126e-06	4.82283739996e-05	1.14546942849e-05	1.21842000714e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	209712	1.69993510967e-07	6.92571914543e-06	3.43372876948e-06	8.94106497025e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	299997	1.63838607503e-08	0.0	8.33486143438e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus	358749	1.96165321071e-08	0.0	9.97939859399e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	184512	1.58428842161e-08	0.0	8.05965374551e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,S24-7	184517	4.01041085456e-08	0.0	1.24020582435e-06	0.0
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus	1123873	1.98056362008e-08	0.0	1.00756003649e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	514028	0.0	5.76278922312e-06	0.0	7.43972889628e-07
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae	4462155	2.36498602246e-08	0.0	1.20312489784e-06	0.0
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae	338952	2.26925278884e-08	0.0	1.15442311448e-06	0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella	2201995	1.31261401079e-07	0.0	2.75590504675e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Pectinatus	37190	2.44353461876e-08	0.0	1.2430844456e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	363856	1.40235093195e-08	0.0	7.13409426408e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	2113132	1.5685896572e-08	0.0	7.97979037994e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	524841	1.74166711994e-08	0.0	8.86027678746e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	811589	1.66339879498e-08	0.0	8.46210711723e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	366986	8.66365841256e-07	6.62301468374e-06	1.28985784499e-05	8.55027519061e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus	249142	1.52465586008e-07	5.4764764968e-06	2.95084364168e-06	7.07010075601e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	818516	4.54229538252e-07	8.07934469246e-06	7.36954829668e-06	1.04303891474e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	772972	7.91173423007e-08	0.0	2.35241148939e-06	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	190309	4.58276155094e-06	2.6050412775e-05	2.5015919668e-05	1.09129756747e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,producta	351163	4.77805722878e-08	0.0	1.24315626955e-06	0.0
Bacteria,WPS-2	3954600	2.1150449961e-08	0.0	1.07597392572e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacteriaceae	4355787	1.80587473263e-08	0.0	9.18691625479e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae	1146855	2.98326388527e-08	0.0	1.12319610344e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	192210	6.55113821516e-08	0.0	1.66975172611e-06	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis	4250634	4.01970622469e-07	1.46856972399e-05	5.43863802099e-06	3.11920087191e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,perfringens	289293	3.87835964907e-08	0.0	1.43038147445e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4364405	0.00135664169042	0.00623944657117	0.0037935829992	0.00233333611392
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	199745	1.65671415328e-06	1.94943503556e-05	1.33378224834e-05	3.25279686797e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	278931	0.0	4.08884146482e-06	0.0	5.27867163284e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	569210	8.86076326088e-08	3.67534183882e-05	2.84421038728e-06	4.74484591113e-06
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas	521384	1.83126074904e-08	0.0	9.31606098595e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Dialister	1890224	9.03000694787e-09	0.0	4.59378029447e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	374568	9.68600713345e-08	0.0	2.67154855982e-06	0.0
